Planet Name,Host Name,Planet Letter,Number of Stars,Number of Planets,Number of Moons,Circumbinary Flag,Discovery Method,Solution Type,Orbital Period [days],Planet Radius [Earth Radius],Planet Mass [Earth Mass],Planet Mass*sin(i) [Earth Mass],Planet Mass*sin(i)/sin(i) [Earth Mass],Planet Mass or Mass*sin(i) [Earth Mass],Planet Mass or Mass*sin(i) Provenance,Planet Density [g/cm**3],Eccentricity,Insolation Flux [Earth Flux],Equilibrium Temperature [K],Time Reference Frame and Standard,Ratio of Planet to Stellar Radius,Epoch of Periastron [days],Argument of Periastron [deg],Radial Velocity Amplitude [m/s],Projected Obliquity [deg],True Obliquity [deg],Spectral Type,Stellar Effective Temperature [K],Stellar Radius [Solar Radius],Stellar Mass [Solar mass],Stellar Metallicity [dex],Stellar Metallicity Ratio,Stellar Luminosity [log(Solar)],Stellar Surface Gravity [log10(cm/s**2)],Stellar Age [Gyr],Stellar Density [g/cm**3],Stellar Rotational Velocity [km/s],Stellar Rotational Period [days],Systemic Radial Velocity [km/s],Distance [pc],Parallax [mas],B (Johnson) Magnitude,V (Johnson) Magnitude,J (2MASS) Magnitude,H (2MASS) Magnitude,Ks (2MASS) Magnitude,u (Sloan) Magnitude,g (Sloan) Magnitude,r (Sloan) Magnitude,i (Sloan) Magnitude,z (Sloan) Magnitude,W1 (WISE) Magnitude,W2 (WISE) Magnitude,W3 (WISE) Magnitude,W4 (WISE) Magnitude,Gaia Magnitude
Kepler-1875 b,Kepler-1875,b,1,1,0,0,Transit,Published Confirmed,34.45859909,3.227,,,,,,,,,,,,,,,,,,6161.0,0.86,0.95,-0.5,[Fe/H],,4.54,,0.3698,,,,1660.45,0.575041,15.559,15.201,13.867,13.535,13.425,,,,,,13.464,13.557,12.716,9.432,15.0014
Kepler-1876 b,Kepler-1876,b,1,1,0,0,Transit,Published Confirmed,6.99202013,0.98,,,,,,,,,,,,,,,,,,6057.0,1.47,1.08,-0.06,[Fe/H],,4.14,,0.0217,,,,259.935,3.81845,11.444,10.793,9.771,9.526,9.472,,,,,,9.45,9.477,9.495,8.728,10.7582
Kepler-1876 b,Kepler-1876,b,1,1,0,0,Transit,Published Confirmed,6.99205,0.853,2.4,,,2.4,Mass,19.0,0.098,475.0,1299.0,BJD-TDB,,,,0.71,,,,6104.0,1.48,1.19,0.01,[Fe/H],,,4.4,,,,,259.935,3.81845,11.444,10.793,9.771,9.526,9.472,,,,,,9.45,9.477,9.495,8.728,10.7582
Kepler-1877 b,Kepler-1877,b,1,1,0,0,Transit,Published Confirmed,2.37756991,0.624,,,,,,,,,,,,,,,,,,5615.0,0.94,1.02,0.24,[Fe/H],,4.5,,1.5143,,,,285.312,3.47619,13.216,12.29,11.064,10.738,10.642,,,,,,10.558,10.602,10.553,9.372,12.2289
Kepler-1878 b,Kepler-1878,b,1,1,0,0,Transit,Published Confirmed,4.44587994,2.92,,,,,,,,,,,,,,,,,,5918.0,0.86,0.96,-0.26,[Fe/H],,4.54,,1.1311,,,,1494.3,0.641277,16.926,15.587,14.158,13.79,13.672,,,,,,13.657,13.668,12.991,9.28,15.403
Kepler-1879 b,Kepler-1879,b,1,1,0,0,Transit,Published Confirmed,10.61340046,2.065,,,,,,,,,,,,,,,,,,5865.0,1.39,1.02,0.0,[Fe/H],,4.16,,59.7123,,,,627.171,1.56588,13.493,12.825,11.753,11.496,11.444,,,,,,11.422,11.461,11.463,9.188,12.7877
Kepler-1879 b,Kepler-1879,b,1,1,0,0,Transit,Published Confirmed,10.61340671,,,,,,,,,,,BJD,,,,,,,,5854.91,1.51,1.06,-0.044,[M/H],0.384,4.1,,0.4315,,,,627.171,1.56588,13.493,12.825,11.753,11.496,11.444,,,,,,11.422,11.461,11.463,9.188,12.7877
Kepler-188 b,Kepler-188,b,1,2,0,0,Transit,Published Confirmed,2.06190671,,,,,,,,,,,BJD,,,,,,,,5704.0,1.07,1.02,,,0.034,4.39,,1.189,,,,968.544,1.00392,15.599,14.719,13.536,13.197,13.144,,,,,,13.057,13.136,12.561,9.054,14.6336
Kepler-188 b,Kepler-188,b,1,2,0,0,Transit,Published Confirmed,2.061897,1.68,,,,,,,,,,BJD,,,,,,,,6021.0,1.14,,,,,4.35,,,,,,968.544,1.00392,15.599,14.719,13.536,13.197,13.144,,,,,,13.057,13.136,12.561,9.054,14.6336
Kepler-188 b,Kepler-188,b,1,2,0,0,Transit,Published Confirmed,2.06190736,1.47,,,,,,,,,,JD,0.01394,,,,,,,5727.0,0.96,0.98,0.0,[Fe/H],,4.46,4.37,,,,,968.544,1.00392,15.599,14.719,13.536,13.197,13.144,,,,,,13.057,13.136,12.561,9.054,14.6336
