Planet Name,Host Name,Planet Letter,Number of Stars,Number of Planets,Number of Moons,Circumbinary Flag,Discovery Method,Solution Type,Orbital Period [days],Planet Radius [Earth Radius],Planet Mass [Earth Mass],Planet Mass*sin(i) [Earth Mass],Planet Mass*sin(i)/sin(i) [Earth Mass],Planet Mass or Mass*sin(i) [Earth Mass],Planet Mass or Mass*sin(i) Provenance,Planet Density [g/cm**3],Eccentricity,Insolation Flux [Earth Flux],Equilibrium Temperature [K],Time Reference Frame and Standard,Ratio of Planet to Stellar Radius,Epoch of Periastron [days],Argument of Periastron [deg],Radial Velocity Amplitude [m/s],Projected Obliquity [deg],True Obliquity [deg],Spectral Type,Stellar Effective Temperature [K],Stellar Radius [Solar Radius],Stellar Mass [Solar mass],Stellar Metallicity [dex],Stellar Metallicity Ratio,Stellar Luminosity [log(Solar)],Stellar Surface Gravity [log10(cm/s**2)],Stellar Age [Gyr],Stellar Density [g/cm**3],Stellar Rotational Velocity [km/s],Stellar Rotational Period [days],Systemic Radial Velocity [km/s],Distance [pc],Parallax [mas],B (Johnson) Magnitude,V (Johnson) Magnitude,J (2MASS) Magnitude,H (2MASS) Magnitude,Ks (2MASS) Magnitude,u (Sloan) Magnitude,g (Sloan) Magnitude,r (Sloan) Magnitude,i (Sloan) Magnitude,z (Sloan) Magnitude,W1 (WISE) Magnitude,W2 (WISE) Magnitude,W3 (WISE) Magnitude,W4 (WISE) Magnitude,Gaia Magnitude
11 Com b,11 Com,b,2,1,0,0,Radial Velocity,Published Confirmed,,,,5434.7,,5434.7,Msini,,,,,,,,,,,,,,,2.6,,,,,,,,,,93.1846,10.7104,5.726,4.72307,2.943,2.484,2.282,,,,,,0.639,0.732,2.358,2.27,4.44038
11 Com b,11 Com,b,2,1,0,0,Radial Velocity,Published Confirmed,326.03,,,6165.6,,6165.6,Msini,,0.231,,,,,2452899.6,94.8,302.8,,,G8 III,4742.0,19.0,2.7,-0.35,[Fe/H],2.243,2.31,,,1.2,,,93.1846,10.7104,5.726,4.72307,2.943,2.484,2.282,,,,,,0.639,0.732,2.358,2.27,4.44038
11 Com b,11 Com,b,2,1,0,0,Radial Velocity,Published Confirmed,323.21,,,4914.89849,,4914.89849,Msini,,0.238,,,JD,,2454519.4,91.33,288.63,,,G8 III,4874.0,13.76,2.09,-0.26,[Fe/H],1.978,2.45,,,,,,93.1846,10.7104,5.726,4.72307,2.943,2.484,2.282,,,,,,0.639,0.732,2.358,2.27,4.44038
11 UMi b,11 UMi,b,1,1,0,0,Radial Velocity,Published Confirmed,516.21997,,,4684.8142,,4684.8142,Msini,,0.08,,,,,,,189.7,,,,4213.0,29.79,2.78,-0.02,[Fe/H],,1.93,,,,,,125.321,7.95388,6.382,5.013,2.876,2.091,1.939,,,,,,-0.29,0.143,1.894,1.787,4.56216
11 UMi b,11 UMi,b,1,1,0,0,Radial Velocity,Published Confirmed,,,,3432.4,,3432.4,Msini,,,,,,,,,,,,,,,1.7,,,,,,,,,,125.321,7.95388,6.382,5.013,2.876,2.091,1.939,,,,,,-0.29,0.143,1.894,1.787,4.56216
11 UMi b,11 UMi,b,1,1,0,0,Radial Velocity,Published Confirmed,516.22,,,3337.07,,3337.07,Msini,,0.08,,,,,2452861.04,117.63,189.7,,,K4 III,4340.0,24.08,1.8,0.04,[Fe/H],,1.6,1.56,,1.5,,,125.321,7.95388,6.382,5.013,2.876,2.091,1.939,,,,,,-0.29,0.143,1.894,1.787,4.56216
14 And b,14 And,b,1,1,0,0,Radial Velocity,Published Confirmed,186.76,,,1131.1513,,1131.1513,Msini,,0.0,,,JD,,2452853.0,0.0,86.08,,,K0 III,4888.0,11.55,1.78,-0.21,[Fe/H],1.84,2.55,,,,,,75.4392,13.2289,6.256,5.23133,3.019,2.608,2.331,,,,,,,,,,4.91781
14 And b,14 And,b,1,1,0,0,Radial Velocity,Published Confirmed,,,,1017.0,,1017.0,Msini,,,,,,,,,,,,,,,1.2,,,,,,,,,,75.4392,13.2289,6.256,5.23133,3.019,2.608,2.331,,,,,,,,,,4.91781
14 And b,14 And,b,1,1,0,0,Radial Velocity,Published Confirmed,185.84,,,1525.5,,1525.5,Msini,,0.0,,,,,2452861.4,0.0,100.0,,,K0 III,4813.0,11.0,2.2,-0.24,[Fe/H],1.763,2.63,,,2.6,,,75.4392,13.2289,6.256,5.23133,3.019,2.608,2.331,,,,,,,,,,4.91781
14 Her b,14 Her,b,1,2,0,0,Radial Velocity,Published Confirmed,1773.4,,,1474.67,,1474.67,Msini,,0.369,,,,,2451372.7,22.6,90.0,,,K0 V,,,,,,,,,,,,,17.9323,55.7363,7.495,6.61935,5.158,4.803,4.714,,,,,,,,,,6.383
14 Her b,14 Her,b,1,2,0,0,Radial Velocity,Published Confirmed,1766.0,,,1581.138,,1581.138,Msini,,0.359,,,,,,22.23,,,,,5280.0,1.0,0.91,0.4,[M/H],-0.153,4.4,,1.2739,,,,17.9323,55.7363,7.495,6.61935,5.158,4.803,4.714,,,,,,,,,,6.383
14 Her b,14 Her,b,1,2,0,0,Radial Velocity,Published Confirmed,1765.0389,,2559.47216,,,2559.47216,Mass,,0.373,,,BJD,,2449614.563,23.043,89.582,,,,,,0.91,,,,,,,,,,17.9323,55.7363,7.495,6.61935,5.158,4.803,4.714,,,,,,,,,,6.383
14 Her b,14 Her,b,1,2,0,0,Radial Velocity,Published Confirmed,1773.40002,,,1481.0878,,1481.0878,Msini,,0.37,,,,,,,90.0,,,,5338.0,0.93,0.9,0.41,[Fe/H],,4.45,,,,,,17.9323,55.7363,7.495,6.61935,5.158,4.803,4.714,,,,,,,,,,6.383
14 Her b,14 Her,b,1,2,0,0,Radial Velocity,Published Confirmed,1796.4,,,1506.45,,1506.45,Msini,,0.338,,,,,2449582.0,22.58,90.3,,,,5255.0,,0.9,0.51,[Fe/H],-0.15,4.4,3.9,,1.0,,-13.82,17.9323,55.7363,7.495,6.61935,5.158,4.803,4.714,,,,,,,,,,6.383
14 Her b,14 Her,b,1,2,0,0,Radial Velocity,Published Confirmed,1766.41,,,1541.46777,,1541.46777,Msini,,0.3674,,,BJD,,,23.2,89.49,,,,5314.94,1.0,0.97,0.405,[Fe/H],,4.43,,,,,,17.9323,55.7363,7.495,6.61935,5.158,4.803,4.714,,,,,,,,,,6.383
14 Her b,14 Her,b,1,2,0,0,Radial Velocity,Published Confirmed,1724.0,,,1554.12,,1554.12,Msini,,0.37,,,,,2451353.0,15.0,89.0,,,K0 V,,,1.0,0.35,[Fe/H],,,,,,,,17.9323,55.7363,7.495,6.61935,5.158,4.803,4.714,,,,,,,,,,6.383
14 Her b,14 Her,b,1,2,0,0,Radial Velocity,Published Confirmed,,,,1440.663,,1440.663,Msini,,0.357,,,,,,22.88,,,,,,,0.9,,,,,,,,,,17.9323,55.7363,7.495,6.61935,5.158,4.803,4.714,,,,,,,,,,6.383
16 Cyg B b,16 Cyg B,b,3,1,0,0,Radial Velocity,Published Confirmed,799.45,,,556.83537,,556.83537,Msini,,0.6832,,,BJD,,,82.74,53.16,,,,5711.97,1.16,0.98,0.074,[Fe/H],,4.3,,,,,,21.1397,47.2754,6.876,6.215,4.993,4.695,4.651,,,,,,4.773,4.568,4.926,4.713,6.06428
16 Cyg B b,16 Cyg B,b,3,1,0,0,Radial Velocity,Published Confirmed,798.5,,,533.9544,,533.9544,Msini,,0.681,,,JD,,2446549.1,85.8,50.5,,,,5674.0,,0.99,0.038,[Fe/H],,4.36,,,2.18,,,21.1397,47.2754,6.876,6.215,4.993,4.695,4.651,,,,,,4.773,4.568,4.926,4.713,6.06428
16 Cyg B b,16 Cyg B,b,3,1,0,0,Radial Velocity,Published Confirmed,800.8,,,476.7,,476.7,Msini,,0.634,,,,,2448935.3,83.2,43.9,,,G2.5 V,5760.0,,1.0,0.05,[Fe/H],,4.35,,,2.7,,,21.1397,47.2754,6.876,6.215,4.993,4.695,4.651,,,,,,4.773,4.568,4.926,4.713,6.06428
16 Cyg B b,16 Cyg B,b,3,1,0,0,Radial Velocity,Published Confirmed,799.5,,,533.93,,533.93,Msini,,0.689,,,,,2450539.3,83.4,51.2,,,,5747.0,1.13,1.03,0.06,[M/H],0.097,4.35,,1.011,,,,21.1397,47.2754,6.876,6.215,4.993,4.695,4.651,,,,,,4.773,4.568,4.926,4.713,6.06428
16 Cyg B b,16 Cyg B,b,3,1,0,0,Radial Velocity,Published Confirmed,799.5,,,533.93,,533.93,Msini,,0.689,,,,,2450539.3,83.4,51.2,,,G3 V,,,,,,,,,,,,,21.1397,47.2754,6.876,6.215,4.993,4.695,4.651,,,,,,4.773,4.568,4.926,4.713,6.06428
16 Cyg B b,16 Cyg B,b,3,1,0,0,Radial Velocity,Published Confirmed,798.5,,,565.7374,,565.7374,Msini,,0.68,,,,,,,50.5,,,,5750.0,1.13,1.08,0.06,[Fe/H],,4.36,,,,,,21.1397,47.2754,6.876,6.215,4.993,4.695,4.651,,,,,,4.773,4.568,4.926,4.713,6.06428
17 Sco b,17 Sco,b,1,1,0,0,Radial Velocity,Published Confirmed,578.38,,,1373.01872,,1373.01872,Msini,,0.06,,,JD,,2453294.41,57.03,92.4,,,K3 III,4157.0,25.92,1.22,-0.01,[Fe/H],2.254,1.7,5.13,,3.98,329.49,,124.953,7.9805,6.615,5.22606,2.943,2.266,2.094,,,,,,0.122,0.752,2.058,1.931,4.75429
18 Del b,18 Del,b,2,1,0,0,Radial Velocity,Published Confirmed,993.3,,,3273.5,,3273.5,Msini,,0.08,,,,,2451672.0,166.1,119.4,,,G6 III,4979.0,8.5,2.3,-0.052,[Fe/H],1.602,2.82,,,,,,76.222,13.0922,6.43,5.51048,4.032,3.44,3.366,,,,,,3.37,2.931,3.355,3.308,5.27476
18 Del b,18 Del,b,2,1,0,0,Radial Velocity,Published Confirmed,982.85,,,2926.24614,,2926.24614,Msini,,0.024,,,JD,,2454356.1,64.11,114.96,,,G6 III,4980.0,8.8,2.1,-0.06,[Fe/H],1.634,2.87,,,,,,76.222,13.0922,6.43,5.51048,4.032,3.44,3.366,,,,,,3.37,2.931,3.355,3.308,5.27476
18 Del b,18 Del,b,2,1,0,0,Radial Velocity,Published Confirmed,,,,3127.3,,3127.3,Msini,,,,,,,,,,,,,,,2.1,,,,,,,,,,76.222,13.0922,6.43,5.51048,4.032,3.44,3.366,,,,,,3.37,2.931,3.355,3.308,5.27476
1RXS J160929.1-210524 b,1RXS J160929.1-210524,b,1,1,0,0,Imaging,Published Confirmed,,,4000.0,,,4000.0,Mass,,,,1700.0,,,,,,,,,4060.0,,0.85,,,-0.37,,0.01,,,,,139.135,7.15949,14.168,12.618,9.82,9.121,8.916,,,,,,8.794,8.79,8.684,8.531,12.0572
1RXS J160929.1-210524 b,1RXS J160929.1-210524,b,1,1,0,0,Imaging,Published Confirmed,,,3000.0,,,3000.0,Mass,,,,1700.0,,,,,,,,K7 V,4060.0,,0.85,,,-0.37,,0.005,,,,,139.135,7.15949,14.168,12.618,9.82,9.121,8.916,,,,,,8.794,8.79,8.684,8.531,12.0572
1RXS J160929.1-210524 b,1RXS J160929.1-210524,b,1,1,0,0,Imaging,Published Confirmed,,,3000.0,,,3000.0,Mass,,,,1800.0,,,,,,,,,3993.0,1.31,0.62,,,-0.403,4.0,,0.3879,,,,139.135,7.15949,14.168,12.618,9.82,9.121,8.916,,,,,,8.794,8.79,8.684,8.531,12.0572
1RXS J160929.1-210524 b,1RXS J160929.1-210524,b,1,1,0,0,Imaging,Published Confirmed,,18.647,2543.0,,,2543.0,Mass,,,,1800.0,,,,,,,,K7 V,4060.0,1.35,0.85,,,,,0.005,,,,,139.135,7.15949,14.168,12.618,9.82,9.121,8.916,,,,,,8.794,8.79,8.684,8.531,12.0572
24 Boo b,24 Boo,b,1,1,0,0,Radial Velocity,Published Confirmed,30.33,,,280.64248,,280.64248,Msini,,0.032,,,JD,,2455129.2,-179.2,55.67,,,G3 IV,4816.0,12.19,1.05,-0.78,[Fe/H],1.877,2.28,,,,,,95.9863,10.39,6.439,5.59,3.845,3.34,3.159,,,,,,,,,,5.3339
24 Boo b,24 Boo,b,1,1,0,0,Radial Velocity,Published Confirmed,30.3506,,,289.2253,,289.2253,Msini,,0.042,,,JD,,2450008.6,210.0,59.9,,,G3 IV,4893.0,10.64,0.99,-0.77,[Fe/H],1.774,2.42,6.92,,3.36,,,95.9863,10.39,6.439,5.59,3.845,3.34,3.159,,,,,,,,,,5.3339
24 Sex b,24 Sex,b,1,2,0,0,Radial Velocity,Published Confirmed,452.8,,,632.46,,632.46,Msini,,0.09,,,,,2454762.0,9.2,40.0,,,,5098.0,4.9,1.54,-0.03,[Fe/H],1.164,3.5,2.7,,2.77,,,72.0691,13.8488,7.399,6.4535,5.292,4.486,4.285,,,,,,4.094,3.598,4.254,4.201,6.20374
24 Sex c,24 Sex,c,1,2,0,0,Radial Velocity,Published Confirmed,883.0,,,273.32,,273.32,Msini,,0.29,,,,,2454930.0,220.5,14.5,,,,5098.0,4.9,1.54,-0.03,[Fe/H],1.164,3.5,2.7,,2.77,,,72.0691,13.8488,7.399,6.4535,5.292,4.486,4.285,,,,,,4.094,3.598,4.254,4.201,6.20374
2M0437 b,2MASS J04372171+2651014,b,1,1,0,0,Imaging,Published Confirmed,,,1271.31363,,,1271.31363,Mass,,,,1450.0,,,,,,,,M V,3100.0,0.84,0.17,0.01,[Fe/H],-1.164,4.5,2.5,,22.54,1.84,17.1,128.484,7.75524,17.237,16.186,11.298,10.656,10.386,,,,,,10.284,10.12,10.104,7.992,14.3374
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,b,2,1,0,1,Imaging,Published Confirmed,,,4131.79,,,4131.79,Mass,,,,,,,,,,,,M5.5/M6,,,0.19,,,,,0.03,,,,,,,16.993,15.788,10.162,9.58,9.237001,,,,,,9.047,8.804,8.558,7.817,
2MASS J01225093-2439505 b,2MASS J01225093-2439505,b,1,1,0,0,Imaging,Published Confirmed,,11.209,,,,,,,,,1600.0,,,,,,,,,3309.0,0.37,0.35,,,-1.838,4.86,,10.1187,,,,33.8281,29.5326,15.706,14.244,10.084,9.47,9.198,,,,,,9.022,8.857,8.747,8.298,12.9025
2MASS J01225093-2439505 b,2MASS J01225093-2439505,b,1,1,0,0,Imaging,Published Confirmed,,,7786.5,,,7786.5,Mass,,,,,,,,,,,,M3.5 V,3530.0,,0.4,,,-1.72,,0.12,,,,9.6,33.8281,29.5326,15.706,14.244,10.084,9.47,9.198,,,,,,9.022,8.857,8.747,8.298,12.9025
2MASS J02192210-3925225 b,2MASS J02192210-3925225,b,1,1,0,0,Imaging,Published Confirmed,,16.141,4417.837,,,4417.837,Mass,,,,,,,,,,,,M6,3064.0,0.28,0.11,,,-2.23,4.59,0.035,,6.5,,10.6,,,18.549,,11.381,10.811,10.404,,,,,,10.148,9.901,9.614,9.001,15.0123
2MASS J04414489+2301513 b,2MASS J04414489+2301513,b,1,1,0,0,Imaging,Published Confirmed,,,2383.6,,,2383.6,Mass,,,,,,,,,,,,M8.5,,,0.02,,,,,0.001,,,,,,,,,14.419,13.726,13.161,,,,,,,,,,18.9668
2MASS J12073346-3932539 b,2MASS J12073346-3932539,b,1,1,0,0,Imaging,Published Confirmed,,,1589.15,,,1589.15,Mass,,,,1250.0,,,,,,,,M8,,,0.02,,,,,0.008,,,,,64.308,15.5242,,,12.995,12.388,11.945,,,,,,11.574,11.017,9.469,8.121,17.4076
2MASS J12073346-3932539 b,2MASS J12073346-3932539,b,1,1,0,0,Imaging,Published Confirmed,,,1271.0,,,1271.0,Mass,,,,1150.0,,,,,,,,,2825.0,0.22,0.19,,,-2.561,5.03,,25.2795,,,,64.308,15.5242,,,12.995,12.388,11.945,,,,,,11.574,11.017,9.469,8.121,17.4076
2MASS J19383260+4603591 b,2MASS J19383260+4603591,b,2,3,0,1,Eclipse Timing Variations,Published Confirmed,406.0,,,591.16084,,591.16084,Msini,,0.33,,,BJD-TDB,,2455131.0,302.0,,,,,29564.0,0.2,0.48,,,,5.51,,,,,,396.332,2.49522,12.112,12.651,12.757,12.889,12.955,,,,,,12.862,12.92,12.67,9.203,12.1376
2MASS J19383260+4603591 b,2MASS J19383260+4603591,b,2,3,0,1,Eclipse Timing Variations,Published Confirmed,416.0,,603.877,,,603.877,Mass,,,,,,,,,,,,,,,0.48,,,,,,,,,,396.332,2.49522,12.112,12.651,12.757,12.889,12.955,,,,,,12.862,12.92,12.67,9.203,12.1376
2MASS J22362452+4751425 b,2MASS J22362452+4751425,b,1,1,0,0,Imaging,Published Confirmed,,,3972.875,,,3972.875,Mass,,,,,,,,,,,,K7 V,4045.0,,0.6,,,,,0.12,,,,-21.5,69.5737,14.3444,13.731,12.368,9.975,9.338,9.148,,,,,,9.058,9.094,8.947,8.731,11.9484
30 Ari B b,30 Ari B,b,4,1,0,0,Radial Velocity,Published Confirmed,335.1,,,3140.03,,3140.03,Msini,,0.289,,,,,2454538.0,307.0,272.0,,,F6 V,6300.0,1.13,1.16,0.245,[Fe/H],,4.5,0.91,,38.3,,,44.657,22.3641,7.458,7.09209,6.08,5.908,5.822,,,,,,5.963,5.669,5.825,5.679,6.96085
30 Ari B b,30 Ari B,b,4,1,0,0,Radial Velocity,Published Confirmed,345.4,,,2097.678,,2097.678,Msini,,0.18,,,JD,,2453222.1,337.0,177.0,,,,,1.13,1.16,,,,,,,,,,44.657,22.3641,7.458,7.09209,6.08,5.908,5.822,,,,,,5.963,5.669,5.825,5.679,6.96085
30 Ari B b,30 Ari B,b,4,1,0,0,Radial Velocity,Published Confirmed,335.10001,,,4392.4106,,4392.4106,Msini,,0.29,,,,,,,272.0,,,,6331.0,1.41,1.93,0.19,[Fe/H],,4.43,,,,,,44.657,22.3641,7.458,7.09209,6.08,5.908,5.822,,,,,,5.963,5.669,5.825,5.679,6.96085
4 UMa b,4 UMa,b,1,1,0,0,Radial Velocity,Published Confirmed,270.27,,,2511.48007,,2511.48007,Msini,,0.453,,,JD,,2455958.1,28.6,242.24,,,K1 III,4415.0,18.11,1.23,-0.25,[Fe/H],,1.8,4.604,,,,,73.4603,13.5901,5.77,4.5801,2.619,2.021,1.734,,,,,,-0.342,0.1,1.817,1.755,4.23773
4 UMa b,4 UMa,b,1,1,0,0,Radial Velocity,Published Confirmed,269.3,,,2256.5,,2256.5,Msini,,0.432,,,,,2452987.3936,23.81,215.55,,,K1 III,4415.0,18.11,1.23,-0.25,[Fe/H],,1.8,4.604,,,,,73.4603,13.5901,5.77,4.5801,2.619,2.021,1.734,,,,,,-0.342,0.1,1.817,1.755,4.23773
42 Dra b,42 Dra,b,2,1,0,0,Radial Velocity,Published Confirmed,479.1,,,1233.13,,1233.13,Msini,,0.38,,,,,2452757.4,218.7,110.5,,,K1.5 III,4200.0,22.03,0.98,-0.46,[Fe/H],,1.71,9.49,,1.0,,,90.6545,11.0061,6.005,4.8262,2.949,2.197,2.085,,,,,,-0.152,0.372,2.022,1.892,4.43216
47 UMa b,47 UMa,b,1,3,0,0,Radial Velocity,Published Confirmed,1076.6,,,778.6835,,778.6835,Msini,,0.012,,,JD,,2449222.0,147.0,46.6,,,G0 V,5882.0,,1.06,0.04,[Fe/H],,,,,2.8,,,13.7967,72.4528,5.646,5.03352,3.96,3.736,3.75,,,,,,,,,,4.87837
47 UMa b,47 UMa,b,1,3,0,0,Radial Velocity,Published Confirmed,1078.0,,,804.08,,804.08,Msini,,0.032,,,,,2451917.0,334.0,48.4,,,,5872.0,1.21,1.06,0.04,[M/H],0.198,4.3,,0.8366,,,,13.7967,72.4528,5.646,5.03352,3.96,3.736,3.75,,,,,,,,,,4.87837
47 UMa b,47 UMa,b,1,3,0,0,Radial Velocity,Published Confirmed,1100.8,,,877.17,,877.17,Msini,,0.097,,,,,2452915.0,300.0,53.6,,,,,,,,,,,,,,,11.22,13.7967,72.4528,5.646,5.03352,3.96,3.736,3.75,,,,,,,,,,4.87837
47 UMa b,47 UMa,b,1,3,0,0,Radial Velocity,Published Confirmed,1083.2,,,826.32,,826.32,Msini,,0.049,,,,,2450173.0,111.0,49.3,,,G1 V,,,,,,,,,,,,,13.7967,72.4528,5.646,5.03352,3.96,3.736,3.75,,,,,,,,,,4.87837
47 UMa b,47 UMa,b,1,3,0,0,Radial Velocity,Published Confirmed,1076.6,,,774.86566,,774.86566,Msini,,0.016,,,BJD,,,-30.0,48.16,,,,5829.16,1.14,1.01,0.026,[Fe/H],,4.33,,,,,,13.7967,72.4528,5.646,5.03352,3.96,3.736,3.75,,,,,,,,,,4.87837
47 UMa c,47 UMa,c,1,3,0,0,Radial Velocity,Published Confirmed,2391.0,,,171.621,,171.621,Msini,,0.098,,,,,2452441.0,295.0,8.0,,,,5872.0,1.21,1.06,0.04,[M/H],0.198,4.3,,0.8366,,,,13.7967,72.4528,5.646,5.03352,3.96,3.736,3.75,,,,,,,,,,4.87837
47 UMa c,47 UMa,c,1,3,0,0,Radial Velocity,Published Confirmed,7586.0,,,425.87,,425.87,Msini,,0.005,,,,,2452134.0,127.0,13.3,,,G1 V,,,,,,,,,,,,,13.7967,72.4528,5.646,5.03352,3.96,3.736,3.75,,,,,,,,,,4.87837
47 UMa c,47 UMa,c,1,3,0,0,Radial Velocity,Published Confirmed,2287.0,,,157.96072,,157.96072,Msini,,0.179,,,BJD,,,32.0,7.8,,,,5829.16,1.14,1.01,0.026,[Fe/H],,4.33,,,,,,13.7967,72.4528,5.646,5.03352,3.96,3.736,3.75,,,,,,,,,,4.87837
47 UMa d,47 UMa,d,1,3,0,0,Radial Velocity,Published Confirmed,14002.0,,,521.22,,521.22,Msini,,0.16,,,,,2451736.0,110.0,13.8,,,,5872.0,1.21,1.06,0.04,[M/H],0.198,4.3,,0.8366,,,,13.7967,72.4528,5.646,5.03352,3.96,3.736,3.75,,,,,,,,,,4.87837
47 UMa d,47 UMa,d,1,3,0,0,Radial Velocity,Published Confirmed,19000.0,,,479.92089,,479.92089,Msini,,0.38,,,BJD,,,51.0,12.4,,,,5829.16,1.14,1.01,0.026,[Fe/H],,4.33,,,,,,13.7967,72.4528,5.646,5.03352,3.96,3.736,3.75,,,,,,,,,,4.87837
51 Eri b,51 Eri,b,3,1,0,0,Imaging,Published Confirmed,14965.0,,,,,,,,0.21,,,JD,,2456946.4,90.0,,,,,7295.0,1.49,1.65,,,0.752,4.31,,0.7071,,,,29.7575,33.577,5.486,5.21149,4.744,4.77,4.537,,,,,,4.543,4.31,4.575,4.39,5.15806
51 Eri b,51 Eri,b,3,1,0,0,Imaging,Published Confirmed,11688.0,,,,,,,,0.45,,,JD,,2455563.0,87.0,,,,,7295.0,1.49,1.65,,,0.752,4.31,,0.7071,,,,29.7575,33.577,5.486,5.21149,4.744,4.77,4.537,,,,,,4.543,4.31,4.575,4.39,5.15806
51 Eri b,51 Eri,b,3,1,0,0,Imaging,Published Confirmed,,,635.66,,,635.66,Mass,,,,700.0,,,,,,,,F0 IV,,,1.75,-0.027,[M/H],0.85,,0.02,,,,17.3,29.7575,33.577,5.486,5.21149,4.744,4.77,4.537,,,,,,4.543,4.31,4.575,4.39,5.15806
51 Peg b,51 Peg,b,1,1,0,0,Radial Velocity,Published Confirmed,4.231,,146.2018,143.0235,145.0,146.2018,Mass,,0.0,,,BJD,,2456021.256,0.0,55.2,,,,,,1.04,,,,,,,,,-33.15,15.4614,64.6488,6.104,5.45309,4.655,4.234,3.911,,,,,,3.909,3.624,3.929,3.904,5.28647
51 Peg b,51 Peg,b,1,1,0,0,Radial Velocity,Published Confirmed,4.23077,,,148.738,,148.738,Msini,,0.0,,,,,2452497.0,0.0,57.3,,,,,,,,,,,,,,,-33.25,15.4614,64.6488,6.104,5.45309,4.655,4.234,3.911,,,,,,3.909,3.624,3.929,3.904,5.28647
51 Peg b,51 Peg,b,1,1,0,0,Radial Velocity,Published Confirmed,4.2293,,,149.3801,,149.3801,Msini,,0.0,,,JDB,,2449797.773,,59.0,,,,5773.0,1.29,,0.2,[M/H],,4.32,10.0,,2.2,30.0,,15.4614,64.6488,6.104,5.45309,4.655,4.234,3.911,,,,,,3.909,3.624,3.929,3.904,5.28647
51 Peg b,51 Peg,b,1,1,0,0,Radial Velocity,Published Confirmed,4.2307969,,,147.47238,,147.47238,Msini,,0.0042,,,BJD,,,6.0,55.73,,,,5760.76,1.19,1.07,0.206,[Fe/H],,4.32,,,,,,15.4614,64.6488,6.104,5.45309,4.655,4.234,3.911,,,,,,3.909,3.624,3.929,3.904,5.28647
51 Peg b,51 Peg,b,1,1,0,0,Radial Velocity,Published Confirmed,4.230785,,,150.009,,150.009,Msini,,0.013,,,,,2450001.51,58.0,55.94,,,,5758.0,1.18,1.03,0.18,[M/H],0.136,4.31,,0.8937,,,,15.4614,64.6488,6.104,5.45309,4.655,4.234,3.911,,,,,,3.909,3.624,3.929,3.904,5.28647
55 Cnc b,55 Cnc,b,2,5,0,0,Radial Velocity,Published Confirmed,14.65126,,,260.61,,260.61,Msini,,0.0159,,,,,2447572.0,164.0,71.84,,,,5250.0,0.96,0.9,0.35,[M/H],-0.197,4.42,,1.4185,,,,12.5855,79.4274,6.816,5.95084,4.768,4.265,4.015,,,,,,,,,,5.72973
55 Cnc b,55 Cnc,b,2,5,0,0,Radial Velocity,Published Confirmed,14.647,,,289.21,,289.21,Msini,,0.03,,,,,2450000.8,63.0,78.3,,,,,,,,,,,,,,,27.25,12.5855,79.4274,6.816,5.95084,4.768,4.265,4.015,,,,,,,,,,5.72973
55 Cnc b,55 Cnc,b,2,5,0,0,Radial Velocity,Published Confirmed,14.648,,,266.9772,,266.9772,Msini,,0.051,,,,,,41.0,77.1,,,G8 V,5200.0,,0.85,0.23,[Fe/H],,4.5,5.0,,2.0,44.0,,12.5855,79.4274,6.816,5.95084,4.768,4.265,4.015,,,,,,,,,,5.72973
55 Cnc b,55 Cnc,b,2,5,0,0,Radial Velocity,Published Confirmed,14.465314,,266.966,,,266.966,Mass,,0.0023,,,,,,,71.47,,,,5250.0,0.96,0.9,0.35,[M/H],-0.197,4.42,,1.4185,,,,12.5855,79.4274,6.816,5.95084,4.768,4.265,4.015,,,,,,,,,,5.72973
55 Cnc b,55 Cnc,b,2,5,0,0,Radial Velocity,Published Confirmed,14.65152,,263.9785,,,263.9785,Mass,,0.0034,,,,,,98.0,71.4,,,,,,0.95,,,,,,,,,,12.5855,79.4274,6.816,5.95084,4.768,4.265,4.015,,,,,,,,,,5.72973
55 Cnc b,55 Cnc,b,2,5,0,0,Radial Velocity,Published Confirmed,14.651,,,254.25,,254.25,Msini,,0.004,,,,,2453035.0,110.0,71.11,,,,5250.0,0.96,0.9,0.35,[M/H],-0.197,4.42,,1.4185,,,,12.5855,79.4274,6.816,5.95084,4.768,4.265,4.015,,,,,,,,,,5.72973
55 Cnc b,55 Cnc,b,2,5,0,0,Radial Velocity,Published Confirmed,14.6516,,,255.4,,255.4,Msini,,0.0,,,,,,-21.5,71.37,,,,5172.0,0.94,0.91,0.35,[Fe/H],,4.43,,,1.23,38.8,,12.5855,79.4274,6.816,5.95084,4.768,4.265,4.015,,,,,,,,,,5.72973
55 Cnc b,55 Cnc,b,2,5,0,0,Radial Velocity,Published Confirmed,14.65162,,,261.881,,261.881,Msini,,0.014,,,,,2450002.94749,131.94,,,,,5250.0,0.96,0.9,0.35,[M/H],-0.197,4.42,,1.4185,,,,12.5855,79.4274,6.816,5.95084,4.768,4.265,4.015,,,,,,,,,,5.72973
55 Cnc b,55 Cnc,b,2,5,0,0,Radial Velocity,Published Confirmed,14.67,,,249.17872,,249.17872,Msini,,0.0197,,,JD,,2453021.08,131.49,67.365,,,,,,0.95,,,,,,,,,,12.5855,79.4274,6.816,5.95084,4.768,4.265,4.015,,,,,,,,,,5.72973
